经销商代码之计数,经销商名称之计数,1月机油采购,1月钣喷件,25年10月五年十桶&惠延保机油发放量,1月机油合计,Unnamed: 6,经销商代码之计数.1,经销商简称,2月机油采购,2月钣喷件,25年10月五年十桶&惠延保机油发放量.1,2月机油合计,Unnamed: 13,经销商代码之计数.2,经销商简称.1,3月机油采购,3月钣喷件,25年10月五年十桶&惠延保机油发放量.2,3月机油合计,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,求和项:TotalAmount,列标签
M18896,阿克苏笑好,13163.939999999999,60425.35000000001,,13163.939999999999,,A13311,宁波鑫之源,56042.52,266296.68000000005,,56042.52,,A13311,宁波鑫之源,26231.16,114808.08000000007,84.0,43367.16,,,求和项:总价,,,,行标签,0.0
A30535,安徽泓德汽车销售服务有限公司,78533.67000000001,81970.82,12.0,80981.67000000001,,A13314,海口优之杰,35446.5,142976.58000000002,,35446.5,,A13314,海口优之杰,40840.200000000004,154183.80999999994,96.0,60424.200000000004,,,经销商代码,经销商名称,7.0,,A13261,36349.649999999994
M18889,安庆瑞呈汽车销售服务有限公司,15739.140000000001,23974.91,12.0,18187.14,,A15217,杭州骏田,230075.54999999996,335375.5999999998,,230075.54999999996,,A15217,杭州骏田,109634.84999999999,164449.71,36.0,116978.84999999999,,,A13258,江西江铃海外马自达汽车销售服务有限公司,84287.09999999999,,A13265,7089.3
M18175,巴州四季秋林汽车销售有限公司,19526.100000000002,62011.99,,19526.100000000002,,A13291,南京天和,122055.66000000002,373995.59999999986,,122055.66000000002,,A13291,南京天和,60603.78,304550.5499999999,,60603.78,,,A13261,潍坊东裕车业发展有限公司,15060.81,,A13275,
M18051,百色万马汽车销售服务有限公司,58314.780000000006,176663.9499999998,12.0,60762.780000000006,,A13297,常州外汽永嘉,198207.36000000002,117266.5,,198207.36000000002,,A13297,常州外汽永嘉,0.0,82308.35,60.0,12240.0,,,A13265,武汉龙泰元汽车销售服务有限公司,48811.810000000005,,A13279,21193.260000000002
M18218,包头市鸿燕福达汽车销售服务有限公司,17145.24,49540.54,,17145.24,,M18224,广州市福马,69841.20000000001,118703.36000000003,,69841.20000000001,,M18224,广州市福马,32923.74,90073.82000000002,24.0,37819.74,,,A13275,烟台裕顺汽车服务有限公司,47186.71,,A13289,18335.25
M18390,保定市威达汽车销售服务有限公司,69187.02,195885.28999999975,12.0,71635.02,,A13475,西安骏雄,102591.03,155012.51,,102591.03,,A13475,西安骏雄,14367.12,118274.85999999999,24.0,19263.120000000003,,,A13279,河北骏达汽车贸易有限公司,43704.72,,A13291,60603.78
M18167,北海瑞祥盛汽车销售服务有限公司,60198.36,80065.48000000001,12.0,62646.36,,A22796,陕西广行,5880.0,178173.89999999997,,5880.0,,A22796,陕西广行,12568.140000000001,113885.78,24.0,17464.14,,,A13289,大连众联达贸易有限公司,85118.99000000002,,A13297,
M18247,北京东南得利卡汽车贸易有限公司,30026.82,63170.50999999998,,30026.82,,A17997,武汉银马,99352.98,108762.44,,99352.98,,A17997,武汉银马,66423.36,87567.37000000004,36.0,73767.36,,,A13291,南京天和汽车销售服务有限公司,304550.5499999999,,A13300,32548.5
M18307,北京华日通汽车销售服务有限公司,77462.13,134602.51000000015,24.0,82358.13,,A13776,浙江裕菲,82899.42000000001,167314.7,,82899.42000000001,,A13776,浙江裕菲,56726.28,138539.87,36.0,64070.28,,,A13297,常州外汽永嘉汽车销售服务有限公司,82308.35,,A13302,
