经销商代码,经销商名称,营销大区,服务大区,区域经理,退网,7月,8月,9月,Q3,Q3除退网,7月除退网,8月除退网,9月除退网,Unnamed: 14
经销商代码,经销商名称,营销大区,服务大区,区域经理,退网,0.3170731707317073,0.3170731707317073,0.36585365853658536,Q3,Q3除退网,7月除退网,8月除退网,9月除退网,
M18238,衡阳致瑞汽车销售服务有限公司,南区,南二区,李志杰,,625000.0,625000,721000.0,1971000,1971000,625000,625000,721000,
M18269,厦门市亿海正旗汽车销售服务有限公司,南区,南二区,陈建民,有,349000.0,349000,402000.0,1100000,660000,209300,209300,241400,
M18251,长沙瑞亿达汽车销售服务有限公司,南区,南二区,李志杰,,368000.0,368000,424000.0,1160000,1160000,367900,367900,424200,
M18353,厦门吉顺丰汽车贸易有限公司,南区,南二区,陈建民,,274000.0,274000,316000.0,864000,864000,274000,274000,316000,
M18235,湖南长驰长马汽车销售服务有限公司,南区,南二区,李志杰,,358000.0,358000,413000.0,1129000,1129000,358000,358000,413000,
M18245,常德汇智汽车销售服务有限公司,南区,南二区,李志杰,,396000.0,396000,457000.0,1249000,1249000,396100,396100,456800,
M18341,株洲市华兴汽车销售服务有限公司,南区,南二区,李志杰,,201000.0,201000,232000.0,634000,634000,201100,201100,231800,
M18118,赣州腾马汽车服务有限公司,南区,南二区,王胜文,,357000.0,357000,412000.0,1126000,1126000,357100,357100,411800,
A15497,福州龙益汽车销售服务有限公司,南区,南二区,陈建民,,520000.0,520000,600000.0,1640000,1640000,520000,520000,600000,
M18169,莆田龙益汽车销售服务有限公司,南区,南二区,陈建民,,80000.0,80000,92000.0,252000,252000,80000,80000,92000,
M18242,邵阳驭马汽车销售服务有限公司,南区,南二区,李志杰,,229000.0,229000,264000.0,722000,722000,229000,229000,52800,无
A13258,江西江铃海外马自达汽车销售服务有限公司,南区,南二区,王胜文,,506000.0,506000,584000.0,1596000,1596000,506100,506100,583800,
M18231,岳阳驭马汽车销售服务有限公司,南区,南二区,李志杰,,190000.0,190000,219000.0,599000,599000,190000,190000,219000,
M18232,株洲同达汽车销售服务有限公司,南区,南二区,李志杰,,159000.0,159000,183000.0,501000,501000,158900,158900,183200,
M18234,永州驭马汽车销售服务有限公司,南区,南二区,李志杰,,172000.0,172000,198000.0,542000,542000,171900,171900,198200,
M18081,泉州盛成汽车销售服务有限公司,南区,南二区,陈建民,,135000.0,135000,156000.0,426000,426000,135100,135100,93480,有
M18230,九江景润汽车销售服务有限公司,南区,南二区,王胜文,,149000.0,149000,172000.0,470000,470000,149100,149100,171800,
M18243,郴州跃马汽车销售有限公司,南区,南二区,李志杰,,186000.0,186000,215000.0,587000,587000,186200,186200,214600,
A26096,上饶市福铃达汽车有限公司,南区,南二区,王胜文,,223000.0,223000,257000.0,703000,703000,223000,223000,257000,
A30495,怀化市恒旺汽车销售服务有限公司,南区,南二区,李志杰,,378000.0,378000,436000.0,1192000,1192000,378000,378000,87200,无
M18138,江西金乐玛汽车销售服务有限公司,南区,南二区,王胜文,,203000.0,203000,235000.0,641000,641000,203300,203300,234400,
M18259,宜春驭盛汽车服务有限公司,南区,南二区,王胜文,,111000.0,111000,128000.0,350000,350000,111000,111000,128000,
M18935,福州龙驭汽车销售服务有限公司,南区,南二区,陈建民,,23000.0,23000,26000.0,72000,72000,22900,22900,26200,
M18920,漳州凯鑫汽车贸易有限公司,南区,南二区,陈建民,,12000.0,12000,14000.0,38000,38000,12100,12100,13800,
A13314,海口优之杰汽车服务有限公司,南区,南一区,宋扬,,1094000.0,1094000,1263000.0,3451000,3451000,1094300,1094300,1262400,
A13342,珠海市新通达汽车销售服务有限公司,南区,南一区,宋扬,,650000.0,650000,750000.0,2050000,2050000,650000,650000,750000,
M18224,广州市福马汽车销售服务有限公司,南区,南一区,王胜文,,685000.0,685000,790000.0,2160000,2160000,684900,684900,790200,
A13341,佛山海迪汽车有限公司,南区,南一区,宋扬,,417000.0,417000,481000.0,1315000,1315000,417000,417000,481000,
A19820,佛山市耀田汽车有限公司,南区,南一区,宋扬,,401000.0,401000,462000.0,1264000,1264000,400800,400800,462400,
M18042,深圳通利华龙城汽车销售服务有限公司,南区,南一区,薛仲锋,,513000.0,513000,591000.0,1617000,1617000,512800,512800,591400,
M18055,东莞市莞泰通益汽车销售服务有限公司,南区,南一区,张裕坤,,333000.0,333000,385000.0,1051000,1051000,333300,333300,384400,
A14981,江门市振宇汽车销售服务有限公司,南区,南一区,宋扬,,476000.0,476000,549000.0,1501000,1501000,476000,476000,549000,
M18051,百色万马汽车销售服务有限公司,南区,南一区,薛仲锋,,318000.0,318000,366000.0,1002000,1002000,317800,317800,366400,
A13339,惠州市通力达汽车销售服务有限公司,南区,南一区,张裕坤,,476000.0,476000,549000.0,1501000,1501000,476000,476000,549000,
A13340,中山市万事得汽车销售服务有限公司,南区,南一区,宋扬,,377000.0,377000,435000.0,1189000,1189000,377000,377000,435000,
M18365,中山市中达汽车销售服务有限公司,南区,南一区,宋扬,,377000.0,377000,435000.0,1189000,1189000,377000,377000,435000,
A21336,佛山骏迪汽车有限公司,南区,南一区,宋扬,,433000.0,433000,499000.0,1365000,1365000,432900,432900,499200,
M18613,广州博程汽车有限公司,南区,南一区,王胜文,,575000.0,575000,664000.0,1814000,1814000,575200,575200,663600,
A13338,东莞市通益汽车销售服务有限公司,南区,南一区,张裕坤,,405000.0,405000,467000.0,1277000,1277000,405000,405000,467000,
M18362,东莞市通华汽车销售服务有限公司,南区,南一区,张裕坤,,159000.0,159000,183000.0,501000,501000,158900,158900,183200,
A13343,深圳通利华宝安汽车销售服务有限公司,南区,南一区,薛仲锋,,643000.0,643000,741000.0,2027000,2027000,642800,642800,741400,
M18088,佛山智迪汽车有限公司,南区,南一区,宋扬,,179000.0,179000,206000.0,564000,564000,178900,178900,206200,
M18025,肇庆美轮庆达汽车有限公司,南区,南一区,宋扬,,318000.0,318000,366000.0,1002000,1002000,317800,317800,366400,
M18363,东莞市久驰汽车贸易有限公司,南区,南一区,张裕坤,,260000.0,260000,300000.0,820000,820000,260000,260000,300000,
A13318,广西鑫广达长久汽车销售服务有限公司,南区,南一区,薛仲锋,有,444000.0,444000,513000.0,1401000,840600,266600,266600,307400,
M18009,桂林鑫广达博骏汽车销售服务有限公司,南区,南一区,薛仲锋,,365000.0,365000,421000.0,1151000,1151000,365000,365000,421000,
A18077,深圳通利华福滨汽车服务有限公司,南区,南一区,薛仲锋,,643000.0,643000,741000.0,2027000,2027000,642800,642800,741400,
A15116,柳州鑫广达博骏汽车销售服务有限公司,南区,南一区,薛仲锋,,413000.0,413000,476000.0,1302000,1302000,412900,412900,476200,
M18221,贵港万马汽车销售服务有限公司,南区,南一区,薛仲锋,,262000.0,262000,302000.0,826000,826000,262000,52400,60400,无
