经销商代码,经销商名称,2026-01-17,2026-01-19,2026-01-20,2026-01-21 00:00:00,2026-01-22 00:00:00,2026-01-23 00:00:00,2026-01-24 00:00:00,2026-01-26 00:00:00,2026-01-27 00:00:00,2026-01-28 00:00:00,2026-01-29 00:00:00,第一周,第二周,第三周,第四周
A13258,江西江铃海外马自达汽车销售服务有限公司,6402.219999999999,24291.550000000003,2829.3,10114.909999999998,7728.4,0.0,12656.749999999996,6881.530000000001,9192.05,0.0,232827.91000000003,43794.82,21908.72,,261558.24000000002
A13261,潍坊东裕车业发展有限公司,6416.3099999999995,6465.06,13734.800000000003,14030.98,15647.800000000001,7488.4800000000005,8357.720000000001,16436.879999999997,6375.290000000002,13311.139999999998,27640.0,55479.409999999996,43397.560000000005,,72121.03
A13265,武汉龙泰元汽车销售服务有限公司,20846.48,23395.000000000004,7598.9800000000005,4583.8,12780.79,10958.09,63126.67999999999,29351.230000000007,20185.109999999993,10527.420000000002,11779.47,57853.57000000001,53528.37,,134969.90999999997
A13275,烟台裕顺汽车服务有限公司,8798.939999999999,29036.42,11744.799999999997,13405.289999999999,24984.389999999996,32194.68,7195.1,50687.19,44801.740000000005,18612.1,6799.11,75573.56,41553.75,,128095.24
A13279,河北骏达汽车贸易有限公司,5587.379999999999,5980.700000000001,456.19,7737.09,4014.3,7220.86,15147.210000000003,0.0,4557.85,12116.1,4103.959999999999,67059.38,40776.030000000006,,35925.12
A13289,大连众联达贸易有限公司,16369.180000000002,23683.39999999999,22032.13,18527.990000000005,22301.909999999996,11949.129999999996,12917.050000000001,29842.290000000008,20017.46,31411.300000000007,35499.049999999996,139777.88,105652.31,,129687.15000000002
A13291,南京天和汽车销售服务有限公司,27511.709999999992,25634.030000000002,6413.100000000001,15219.99,24072.499999999996,48392.15000000001,30651.740000000005,38588.47000000001,24486.54,16393.579999999994,37925.220000000016,172383.73,132194.16999999998,,148045.55000000005
A13297,常州外汽永嘉汽车销售服务有限公司,17918.53,17368.930000000008,11553.570000000002,21040.77,13980.970000000001,39096.23,34653.170000000006,23127.799999999996,33452.97000000001,30518.73999999999,20119.54,118240.89,104621.06999999999,,141872.22
A13300,泰州天顺达汽车贸易有限公司,17549.300000000007,10361.8,8165.870000000001,12131.36,12356.869999999999,23164.829999999998,7791.84,25843.559999999998,0.0,0.0,0.0,80192.73999999999,120889.85000000002,,33635.399999999994
A13302,合肥建银海康达汽车销售有限公司,14201.48,24119.160000000003,11742.23,12477.769999999999,14680.17,39259.22999999999,17832.65,20946.089999999993,28879.249999999993,29430.780000000002,37747.66,138125.68,111336.29999999999,,134836.43
A13305,成都东成安邦汽车销售服务有限公司,9795.210000000001,10047.500000000002,36088.71000000001,0.0,11720.279999999999,13140.99,21376.190000000002,21287.659999999996,18774.750000000007,0.0,11896.630000000001,106684.70999999999,68504.86,,73335.23000000001
A13308,义乌市祥马汽车销售服务有限公司,64022.31,22010.119999999995,,56151.48999999999,0.0,0.0,28153.21,34143.799999999996,0.0,63062.70000000002,0.0,97036.29000000001,117146.88999999998,,125359.71000000002
A13311,宁波鑫之源汽车有限公司,53220.25000000001,28846.039999999997,,65408.92999999999,1794.49,0.0,57806.009999999995,33535.64000000001,0.0,53602.33000000001,0.0,124551.28,161031.54999999993,,144943.98
A13314,海口优之杰汽车服务有限公司,35306.41,23205.180000000008,57246.409999999996,37897.330000000016,48841.3,44132.130000000005,29741.729999999996,51122.710000000014,22509.94,58349.88,40627.990000000005,277512.7,186003.17,,202352.25
A13338,东莞市通益汽车销售服务有限公司,8670.730000000001,28320.730000000007,10445.46,9583.49,16271.710000000003,16288.129999999997,14951.89,19593.41,6759.090000000001,6113.33,9625.49,99178.03000000001,105331.09,,57043.21000000001
A13339,惠州市通力达汽车销售服务有限公司,14544.28,12923.34,10895.609999999999,22185.250000000007,17744.230000000003,8065.219999999999,38291.28,56257.070000000014,7500.929999999999,13895.300000000001,8572.41,97119.59000000003,79725.84000000001,,124516.99
A13340,中山市万事得汽车销售服务有限公司,6267.8099999999995,19575.48,6221.340000000001,21274.28,0.0,6241.08,8740.249999999998,13695.880000000001,8066.17,15053.5,9762.68,69568.34,71480.75,,55318.479999999996
A13341,佛山海迪汽车有限公司,7655.440000000001,20493.92,32628.489999999994,18222.859999999997,19169.739999999998,9252.13,16166.77,24953.869999999995,10278.279999999999,11234.850000000002,6580.639999999999,58249.020000000004,63209.880000000005,,69214.41
