经销商代码,经销商名称,营销大区,服务大区,销服中心组长,区域服务经理,本月已结算总额,本月未结算总额,本月总采购金额,危化品,Unnamed: 10,Unnamed: 11,Unnamed: 12
全国,全国,全国,全国,全国,全国,21508007.599999994,3290341.36,24798348.959999993,0.0,24798348.96,,
东区,东区,东区,东区,东区,东区,6155929.669999998,1121755.84,7277685.509999998,,7277685.509999998,,
南区,南区,南区,南区,南区,南区,6973179.609999997,861813.1699999998,7834992.779999997,,7834992.779999997,,
西区,西区,西区,西区,西区,西区,3660517.749999999,506093.08999999985,4166610.839999999,,4166610.839999999,,
北区,北区,北区,北区,北区,北区,2195812.000000001,326761.01000000007,2522573.010000001,,2522573.010000001,,
中区,中区,中区,中区,中区,中区,2522568.5699999994,473918.2500000002,2996486.8199999994,,2996486.8199999994,,
,,,,南一区,南一区,4991226.689999998,599450.39,5590677.079999997,,5590677.079999997,,
,,,,南二区,南二区,1913134.9600000002,237710.72,2150845.68,,2150845.68,,
,,,,西一区,西一区,2020708.109999999,329500.89999999997,2350209.009999999,,2350209.009999999,,
,,,,西二区,西二区,1320789.7999999993,145947.92,1466737.7199999993,,1466737.7199999993,,
A15217,杭州骏田汽车有限公司,东区,东区,,,357887.78999999934,115953.81999999999,473841.60999999935,,473841.60999999935,,
A13475,西安骏雄汽车销售服务有限公司,西区,西二区,,,239233.41999999984,27382.0,266615.4199999998,,266615.4199999998,,
M18954,贵阳京正鸿汽车销售服务有限公司,西区,西区,,,132627.94999999995,23105.04,155732.98999999996,,155732.98999999996,,
M18958,六安市泰源汽车销售服务有限公司,中区,中区,,,25935.840000000004,1512.39,27448.230000000003,,27448.230000000003,,
A13311,宁波鑫之源汽车有限公司,东区,东区,,,290167.20999999973,39563.850000000006,329731.0599999997,,329731.0599999997,,
A15775,广州市华灵汽车销售有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
A13297,常州外汽永嘉汽车销售服务有限公司,东区,东区,,,172690.56999999986,4889.18,177579.74999999985,,177579.74999999985,,
A18077,深圳通利华福滨汽车服务有限公司,南区,南一区,,,279155.61999999976,45918.84,325074.45999999973,,325074.45999999973,,
M18892,辽宁驰敖中联汽车销售服务有限公司,北区,北区,,,164337.92000000004,44139.64,208477.56000000006,,208477.56000000006,,
A13343,深圳通利华宝安汽车销售服务有限公司,南区,南一区,,,418263.10999999905,1956.39,420219.49999999907,,420219.49999999907,,
A14837,无锡市东方运达汽车销售服务有限公司,东区,东区,,,163299.50999999998,4620.0,167919.50999999998,,167919.50999999998,,
A27896,青岛安隆达汽车销售有限公司,中区,中区,,,136583.33000000002,15087.12,151670.45,,151670.45,,
A22796,陕西广行汽车销售服务有限公司,西区,西二区,,,231689.99999999968,16197.230000000001,247887.2299999997,,247887.2299999997,,
M18038,北京仁正利成汽车销售服务有限公司,北区,北区,,,123551.25000000001,11959.58,135510.83000000002,,135510.83000000002,,
A28856,重庆银马汽车销售服务有限公司,西区,西一区,,,251055.3899999998,43185.600000000006,294240.9899999998,,294240.9899999998,,
A13136,新疆天汇永达汽车销售服务有限责任公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
A15935,贵州康众汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
A17997,武汉银马汽车销售有限公司,中区,中区,,,202902.61999999985,75974.20999999999,278876.82999999984,,278876.82999999984,,
M18538,上海交运起荣汽车销售服务有限公司,东区,东区,,,116171.61999999998,25114.940000000002,141286.56,,141286.56,,
M18613,广州博程汽车有限公司,南区,南一区,,,45762.40999999999,16298.79,62061.19999999999,,62061.19999999999,,
A13305,成都东成安邦汽车销售服务有限公司,西区,西一区,,,130215.36999999995,26092.04,156307.40999999995,,156307.40999999995,,
M18537,上海路帅汽车销售有限公司,东区,东区,,,122377.91999999994,14836.66,137214.57999999993,,137214.57999999993,,
A13308,义乌市祥马汽车销售服务有限公司,东区,东区,,,201225.74999999994,22119.11,223344.85999999993,,223344.85999999993,,
A13316,台州通利达汽车有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
A13342,珠海市新通达汽车销售服务有限公司,南区,南一区,,,243433.56999999992,31258.44,274692.0099999999,,274692.0099999999,,
A13291,南京天和汽车销售服务有限公司,东区,东区,,,512190.2699999999,68239.6,580429.8699999999,,580429.8699999999,,
A13302,合肥建银海康达汽车销售有限公司,中区,中区,,,134396.93999999986,10158.820000000002,144555.75999999986,,144555.75999999986,,
A13339,惠州市通力达汽车销售服务有限公司,南区,南一区,,,297505.1199999999,53239.61,350744.72999999986,,350744.72999999986,,
A15940,昆明京源达汽车销售有限责任公司,西区,西一区,,,277543.92999999976,20254.74,297798.66999999975,,297798.66999999975,,
M18520,嘉兴市禾通汽车销售服务有限公司,东区,东区,,,119200.11000000006,0.0,119200.11000000006,,119200.11000000006,,
A13544,昆山富骏汽车销售服务有限公司,东区,东区,,,226026.31999999975,91628.98999999999,317655.3099999997,,317655.3099999997,,
M18347,海南优之杰汽车有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18333,无锡荣事达汽车贸易服务有限公司,东区,东区,,,166820.31999999983,30161.949999999997,196982.26999999984,,196982.26999999984,,
M18238,衡阳致瑞汽车销售服务有限公司,南区,南二区,,,184605.0299999999,13001.67,197606.69999999992,,197606.69999999992,,
M18026,南京天瑞汽车销售服务有限公司,东区,东区,,,104898.07000000002,17021.57,121919.64000000001,,121919.64000000001,,
A24515,上海弘绅汽车销售服务有限公司,东区,东区,,,122016.33000000002,5935.63,127951.96000000002,,127951.96000000002,,
A19795,衢州龙达汽车销售服务有限公司,东区,东区,,,57150.950000000004,24037.41,81188.36,,81188.36,,
M18220,上海苏源汽车销售服务有限公司,东区,东区,,,123133.84000000007,9176.0,132309.84000000008,,132309.84000000008,,
M18515,绍兴瑞达汽车有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18270,山东惠骋汽车贸易有限公司,中区,中区,,,130050.45999999999,36739.8,166790.26,,166790.26,,
M18393,浙江元通瑞达汽车有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
A13314,海口优之杰汽车服务有限公司,南区,南一区,,,323774.15999999974,46741.4,370515.55999999976,,370515.55999999976,,
A22780,盐城申大汽车销售服务有限公司,东区,东区,,,81664.12000000002,10264.79,91928.91000000003,,91928.91000000003,,
A13300,泰州天顺达汽车贸易有限公司,东区,东区,,,74901.09,36530.7,111431.79,,111431.79,,
A13258,江西江铃海外马自达汽车销售服务有限公司,南区,南二区,,,375797.94,0.0,375797.94,,375797.94,,
M18285,吉林省仁德汽车销售服务有限公司,北区,北区,,,95573.32,14584.28,110157.6,,110157.6,,
M18581,陕西唐兴汽车销售服务有限公司,西区,西二区,,,0.0,0.0,0.0,,0.0,,
M18617,武汉龙泰汽车销售服务有限公司,中区,中区,,,57267.77000000002,0.0,57267.77000000002,,57267.77000000002,,
M18561,四川中鹏汽车销售服务有限公司,西区,西一区,,,281462.24999999965,19784.03,301246.2799999997,,301246.2799999997,,
A18055,吉林省瑞祥汽车销售服务有限公司,北区,北区,,,38843.909999999996,0.0,38843.909999999996,,38843.909999999996,,
M18121,扬州天盛达汽车贸易有限公司,东区,东区,,,19172.869999999995,18160.8,37333.67,,37333.67,,
M18276,辽宁福达汽车销售服务有限公司,北区,北区,,,95508.72,12106.02,107614.74,,107614.74,,
A13310,重庆市渝高汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18190,河南小伙伴汽车销售有限公司,中区,中区,,,125339.07000000004,27011.710000000006,152350.78000000003,,152350.78000000003,,
M18278,吉林省华达汽车销售服务有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18349,广西鑫广达汽车销售服务有限公司,南区,南一区,,,318229.38999999966,0.0,318229.38999999966,,318229.38999999966,,
M18014,舟山凯桥汽车销售有限公司,东区,东区,,,94926.73,17453.46,112380.19,,112380.19,,
M18118,赣州腾马汽车服务有限公司,南区,南二区,,,117006.66000000002,8601.69,125608.35000000002,,125608.35000000002,,
M18895,四川申蓉泓瑞汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
A13289,大连众联达贸易有限公司,北区,北区,,,157387.41,18335.25,175722.66,,175722.66,,
A13776,浙江裕菲汽车销售服务有限公司,东区,东区,,,327204.7799999994,70846.98000000003,398051.7599999994,,398051.7599999994,,
M18078,瑞安市深发汽车销售服务有限公司,东区,东区,,,132804.87,6668.54,139473.41,,139473.41,,
M18009,桂林鑫广达博骏汽车销售服务有限公司,南区,南一区,,,142227.33,29139.989999999998,171367.31999999998,,171367.31999999998,,
M18526,上海景和金沙汽车销售有限公司,东区,东区,,,79185.40000000005,26605.830000000005,105791.23000000005,,105791.23000000005,,
A13265,武汉龙泰元汽车销售服务有限公司,中区,中区,,,140211.53000000006,15547.809999999998,155759.34000000005,,155759.34000000005,,
A21357,泸州安马车业有限公司,西区,西一区,,,105973.15000000004,6123.3,112096.45000000004,,112096.45000000004,,
M18122,广州市东富汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18025,肇庆美轮庆达汽车有限公司,南区,南一区,,,97258.42,8018.72,105277.14,,105277.14,,
M18075,苏州恒昌汽车销售有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
A13340,中山市万事得汽车销售服务有限公司,南区,南一区,,,146390.06000000006,11553.81,157943.87000000005,,157943.87000000005,,
M18922,东莞众强,南区,南一区,,,20687.740000000005,672.2099999999999,21359.950000000004,,21359.950000000004,,
M18207,哈尔滨骏骥汽车销售服务有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18217,宣城瑞冠汽车销售有限公司,中区,中区,,,20591.840000000004,3121.2,23713.040000000005,,23713.040000000005,,
A18937,湖州长鸿汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
A13318,广西鑫广达长久汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18571,重庆万事新汽车销售服务有限公司,西区,西一区,,,154327.93999999994,0.0,154327.93999999994,,154327.93999999994,,
M18522,苏州浚和汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18003,重庆金团汽车销售服务有限公司,西区,西一区,,,147604.95999999988,42800.41000000001,190405.36999999988,,190405.36999999988,,
M18196,陕西骏威汽车销售服务有限公司,西区,西二区,,,137323.73999999996,29043.43,166367.16999999995,,166367.16999999995,,
M18245,常德汇智汽车销售服务有限公司,南区,南二区,,,106032.43000000002,38622.700000000004,144655.13000000003,,144655.13000000003,,
M18224,广州市福马汽车销售服务有限公司,南区,南一区,,,187974.77000000005,40488.3,228463.07000000007,,228463.07000000007,,
M18049,芜湖瑞马汽车销售服务有限公司,中区,中区,,,61772.369999999995,40531.39,102303.76,,102303.76,,
M18511,温州将军汽车销售服务有限公司,东区,东区,,,107587.26000000001,7353.300000000001,114940.56000000001,,114940.56000000001,,
M18052,咸阳伟益汽车销售服务有限公司,西区,西二区,,,163267.89999999985,26788.16,190056.05999999985,,190056.05999999985,,
A19775,连云港报业汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18069,中国长安汽车集团天津销售有限公司,北区,北区,,,37376.39,15866.8,53243.19,,53243.19,,
M18521,吴江市东顺汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
A15497,福州龙益汽车销售服务有限公司,南区,南二区,,,59265.44,53739.890000000014,113005.33000000002,,113005.33000000002,,
A30535,安徽泓德汽车销售服务有限公司,中区,中区,,,61218.73000000005,0.0,61218.73000000005,,61218.73000000005,,
M18279,大连百利加汽车贸易有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18365,中山市中达汽车销售服务有限公司,南区,南一区,,,123136.59999999996,11281.14,134417.73999999996,,134417.73999999996,,
M18331,淮安市宏宇翔舜汽车销售服务有限公司,东区,东区,,,170803.74,22100.690000000002,192904.43,,192904.43,,
M18351,广东物通驭达汽车有限公司,南区,南一区,,,137803.09000000003,13917.92,151721.01000000004,,151721.01000000004,,
M18099,山西马博士汽车销售有限公司,北区,北区,,,186272.31999999992,1114.86,187387.1799999999,,187387.1799999999,,
M18305,北京首汽腾达汽车销售服务有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18055,东莞市莞泰通益汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
A26215,桐乡市振华汽车贸易有限公司,东区,东区,,,101034.64,740.3000000000001,101774.94,,101774.94,,
M18911,伊宁市笑好泓源汽车服务有限公司,西区,西区,,,93.2,0.0,93.2,,93.2,,
A13558,绵阳星鸿达汽车销售服务有限公司,西区,西一区,,,169564.21999999986,53065.030000000006,222629.24999999985,,222629.24999999985,,
M18382,哈尔滨乾丰汽车销售服务有限责任公司,北区,北区,,,16488.380000000005,0.0,16488.380000000005,,16488.380000000005,,
A13261,潍坊东裕车业发展有限公司,中区,中区,,,56148.899999999994,51026.56,107175.45999999999,,107175.45999999999,,
A13341,佛山海迪汽车有限公司,南区,南一区,,,130697.80999999992,6123.3,136821.10999999993,,136821.10999999993,,
M18108,三亚优之杰汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
A29055,宜昌大宏汽车销售有限公司,中区,中区,,,117022.34999999996,4565.78,121588.12999999996,,121588.12999999996,,
A15116,柳州鑫广达博骏汽车销售服务有限公司,南区,南一区,,,185420.19999999992,27649.86,213070.05999999994,,213070.05999999994,,
M18320,海宁市禾通汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18533,张家港通城汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
