经销商代码,经销商名称,区域,区域经理,服务总收入,零件总收入,工时总收入,其他收入合计,普通维修产值小计,普通维修工时产值,普通维修材料产值,事故维修产值小计,事故维修工时产值,事故维修材料产值,首保产值小计,首保工时产值,首保材料产值,保养产值小计,保养工时产值,保养材料产值,索赔类型产值小计,索赔类型工时产值,索赔类型材料产值,精品销售产值,备件销售产值,延保产值小计,延保工时产值,延保材料产值,其它产值小计,其他工时产值,其他材料产值,索赔结算产值,索赔结算工时产值,索赔结算材料产值,客户自费产值,客户自费工时产值,客户自费材料产值,厂家付费产值,厂家付费工时产值,厂家付费材料产值,经销商付费产值,经销商付费工时产值,经销商付费材料产值,保险公司付费产值,保险公司付费工时产值,保险公司付费材料产值,保养套餐产值小计,保养套餐工时产值,保养套餐材料产值,机修产值小计,机修工时产值,机修材料产值,钣金产值小计,钣金工时产值,钣金材料产值,喷漆产值小计,喷漆工时产值,喷漆材料产值,其他产值小计,其他工时产值.1,其他材料产值.1,CX-5产值小计,CX-5工时产值,CX-5材料产值,Axela产值小计,Axela工时产值,Axela材料产值,星骋产值小计,星骋工时产值,星骋材料产值,马自达3经典款产值小计,马自达3经典款工时产值,马自达3经典款材料产值,马自达2产值小计,马自达2工时产值,马自达2材料产值,维修工单数,维修项目数,普通维修台次,事故车台次,首保台次,保养台次,索赔台次,备件销售台次,精品销售台次,延保索赔台次,其它台次,保养套餐台次,索赔结算台次,客户自费台次,厂家付费台次,经销商付费台次,保险公司付费台次,机修台次,钣金台次,喷漆台次,其他台次,CX-5台次,Axela台次,星骋台次,马自达3经典款台次,马自达2台次,零件总成本,总毛利,零件总毛利,零件毛利率,普通维修毛利,事故维修毛利,首保毛利,保养毛利,索赔毛利,备件销售毛利,精品销售毛利,延保毛利,其它毛利,自费毛利,索赔结算毛利,厂家付费毛利,经销商付费毛利,保险公司付费毛利,CX-5毛利,Axela毛利,星骋毛利,马自达3经典款毛利,马自达2毛利,管理内客户数,流失客户数,久未回厂客户数,出保客户数,累计销售用户数,销售用户数,忠诚用户数,AA类客户数,BB类客户数,CC类客户数,DD类客户数,EE类客户数,FF类客户数,保养套餐销售数量,延保套餐销售数量,本月出库成本,本月入库,月末库存,月初库存,本月库存品种数,本月出库金额,服务顾问数量,售后人员数量,人均产值,保险信息录入数,新保数,续保数,本店投保数,预约成功数,预约实现数,定期保养提醒数,定期保养提醒率,定期保养提醒成功数,定期保养提醒成功率,售后回访电话数,3日回访率,满意的客户数量,3日回访满意率
M18243,郴州跃马汽车销售有限公司,南区,李志杰,45681.43,36133.47,9547.96,0.0,14296.13,3089.0,11207.13,2478.32,1104.0,1374.32,1291.54,334.48,957.06,25958.64,4573.0,21385.64,1656.8,447.48,1209.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2948.34,781.96,2166.38,42733.09,8766.0,33967.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12384.66,1573.0,10811.66,37916.24,8016.96,29899.28,2478.32,1104.0,1374.32,539.58,57.0,482.58,877.42,370.0,507.42,9558.18,1789.0,7769.18,1285.74,145.0,1140.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,103.0,42.0,1.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,27.0,11.0,92.0,0.0,0.0,0.0,80.0,1.0,1.0,6.0,21.0,3.0,0.0,0.0,0.0,25140.725,20540.705,10992.745,0.3042,7979.0007,1068.9348,832.226,14208.9629,1051.6006,0.0,0.0,0.0,0.0,23256.8984,1883.8266,0.0,0.0,0.0,5580.9552,820.179,0.0,0.0,0.0,4188.0,2790.0,454.0,3671.0,1304.0,1224.0,1377.0,250.0,182.0,851.0,119.0,381.0,2364.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,1575.2217,66.0,0.0,31.0,0.0,0.0,0.0,133.0,0.0,10.0,0.0752,238.0,0.0,0.0,0.0
A28856,重庆银马汽车销售服务有限公司,西区,孔立刚,244472.98,139340.17,105132.81,0.0,106977.53,55897.64,51079.89,12288.57,2300.0,9988.57,1778.96,497.2,1281.76,110232.94,42214.48,68018.46,13009.98,4223.49,8786.49,78.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,14788.94,4720.69,10068.25,217395.47,98112.12,119283.35,0.0,0.0,0.0,0.0,0.0,0.0,12288.57,2300.0,9988.57,81075.08,28260.0,52815.08,224530.7,101806.81,122723.89,16246.34,2726.0,13520.34,0.0,0.0,0.0,600.0,600.0,0.0,89416.3,36707.3,52709.0,51282.06,21194.96,30087.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,523.0,318.0,2.0,5.0,174.0,22.0,1.0,1.0,0.0,0.0,126.0,27.0,494.0,0.0,0.0,2.0,385.0,4.0,0.0,1.0,165.0,99.0,0.0,0.0,0.0,90940.9059,153532.0741,48399.2641,0.3473,36986.3601,7174.6751,1114.5605,37922.1754,7640.4385,75.0,27.6963,0.0,0.0,75011.2318,8754.999,0.0,0.0,7174.6751,34860.9511,20224.5784,0.0,0.0,0.0,20103.0,14236.0,2142.0,17615.0,13300.0,6019.0,4892.0,694.0,761.0,3126.0,413.0,1446.0,12963.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,71.0,3443.2814,201.0,6.0,107.0,0.0,0.0,0.0,523.0,0.0,44.0,0.0841,712.0,0.9986,711.0,1.0
A13258,江西江铃海外马自达汽车销售服务有限公司,南区,王胜文,184539.03,110423.63,74115.4,0.0,22035.46,11410.0,10625.46,72529.3,33099.0,39430.3,6822.08,1889.36,4932.72,65714.94,17086.0,48628.94,17437.25,10631.04,6806.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24259.33,12520.4,11738.93,88787.28,28883.0,59904.28,583.58,220.0,363.58,0.0,0.0,0.0,70908.84,32492.0,38416.84,59330.86,15420.0,43910.86,106746.61,39034.4,67712.21,75244.56,34871.0,40373.56,210.0,210.0,0.0,0.0,0.0,0.0,29263.45,12253.88,17009.57,14144.0,5204.0,8940.0,0.0,0.0,0.0,0.0,0.0,0.0,253.12,253.12,0.0,321.0,457.0,217.0,44.0,18.0,130.0,48.0,0.0,0.0,0.0,0.0,113.0,66.0,367.0,1.0,0.0,23.0,416.0,28.0,2.0,0.0,98.0,47.0,0.0,0.0,2.0,74947.6555,109591.3745,35475.9745,0.3213,9356.0313,31060.9684,4022.2235,24589.9443,5918.488,0.0,0.0,0.0,0.0,34630.8456,9940.7115,261.263,0.0,30114.8354,10296.5039,4350.6427,0.0,0.0,0.0,36315.0,30995.0,1917.0,34697.0,16247.0,5463.0,4157.0,870.0,695.0,3293.0,553.0,2420.0,28331.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,75.0,2460.5204,139.0,0.0,0.0,0.0,0.0,0.0,449.0,0.0,17.0,0.0379,863.0,0.0,0.0,0.0
M18307,北京华日通汽车销售服务有限公司,北区,祁玮,263120.02,166809.79,95710.23,600.0,56469.44,27046.32,29423.12,145311.26,44278.26,101033.0,1577.22,623.76,953.46,56562.68,22695.19,33867.49,2599.44,1066.72,1532.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4176.66,1690.48,2486.18,120022.93,52525.33,67497.6,0.0,0.0,0.0,0.0,0.0,0.0,138320.45,41494.44,96826.01,26563.6,11077.56,15486.04,117663.53,51134.81,66528.72,143357.67,44575.44,98782.23,0.0,0.0,0.0,0.0,0.0,0.0,28641.99,5424.51,23217.48,22181.43,10159.22,12022.21,0.0,0.0,0.0,522.6,522.6,0.0,0.0,0.0,0.0,153.0,250.0,117.0,46.0,9.0,71.0,7.0,0.0,0.0,0.0,0.0,38.0,16.0,196.0,0.0,0.0,38.0,167.0,45.0,0.0,0.0,21.0,19.0,0.0,3.0,0.0,116701.2897,146418.7303,50108.5003,0.3004,20743.1044,70873.6231,829.079,22922.6934,1332.7898,0.0,0.0,0.0,0.0,46741.1719,2161.8688,0.0,0.0,67798.249,16261.6684,8748.342,0.0,0.0,0.0,11576.0,9581.0,697.0,10934.0,11061.0,985.0,2533.0,287.0,361.0,1140.0,157.0,400.0,9123.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,51.0,5159.2161,36.0,0.0,0.0,0.0,0.0,0.0,370.0,0.7351,25.0,0.0676,352.0,0.9688,217.0,0.6364
M18131,四川西星实业发展有限公司,西区,陈莉,177788.37,130918.04,46870.33,0.0,39344.2,11370.0,27974.2,59892.1,15732.29,44159.81,5797.48,1591.04,4206.44,63122.31,15239.0,47883.31,9632.28,2938.0,6694.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15429.76,4529.04,10900.72,125271.01,32279.0,92992.01,0.0,0.0,0.0,0.0,0.0,0.0,37087.6,10062.29,27025.31,36634.63,8482.0,28152.63,103553.61,29490.04,74063.57,58575.23,13780.77,44794.46,2432.57,1900.0,532.57,9350.58,1699.52,7651.06,56014.64,12127.63,43887.01,13810.44,4965.41,8845.03,0.0,0.0,0.0,0.0,0.0,0.0,379.68,379.68,0.0,171.0,229.0,72.0,11.0,14.0,113.0,19.0,0.0,0.0,0.0,0.0,70.0,33.0,191.0,0.0,0.0,5.0,175.0,10.0,2.0,22.0,64.0,21.0,0.0,0.0,3.0,90030.2187,87758.1513,40887.8213,0.3123,19863.1092,32740.7785,3130.5058,28526.3277,5769.4975,0.0,0.0,0.0,0.0,61121.9515,8900.0033,0.0,0.0,20008.2639,31327.6809,5762.152,0.0,0.0,0.0,10982.0,7881.0,966.0,9914.0,6432.0,4930.0,3833.0,389.0,404.0,2008.0,267.0,857.0,6946.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,5555.8866,130.0,4.0,2.0,0.0,0.0,0.0,389.0,0.0026,30.0,0.0771,584.0,0.7705,450.0,1.0
M18519,宁波合辰汽车销售服务有限公司,东区,李波,500668.55,358966.45,141702.1,0.0,39702.31,11953.0,27749.31,308441.27,73848.0,234593.27,48901.12,20620.24,28280.88,95183.4,32916.0,62267.4,8440.45,2364.86,6075.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57341.57,22985.1,34356.47,136699.69,45956.0,90743.69,0.0,0.0,0.0,0.0,0.0,0.0,306627.29,72761.0,233866.29,40330.15,13800.0,26530.15,184953.75,67126.98,117826.77,311206.63,74575.12,236631.51,0.0,0.0,0.0,0.0,0.0,0.0,100254.64,26250.36,74004.28,6893.19,2731.0,4162.19,0.0,0.0,0.0,393.58,180.0,213.58,0.0,0.0,0.0,554.0,667.0,130.0,40.0,332.0,141.0,24.0,0.0,0.0,0.0,0.0,64.0,356.0,274.0,0.0,0.0,37.0,568.0,43.0,0.0,0.0,145.0,9.0,0.0,2.0,0.0,279208.3663,221460.1837,79758.0837,0.2222,20048.4424,190566.1375,24584.8141,38725.8042,5283.1681,0.0,0.0,0.0,0.0,59257.4798,29867.9822,0.0,0.0,190082.9043,58512.1754,3034.6445,0.0,135.003,0.0,17615.0,11731.0,1828.0,12929.0,8875.0,4705.0,3329.0,442.0,437.0,3550.0,225.0,1195.0,10598.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,47.0,10652.5223,76.0,0.0,0.0,0.0,0.0,0.0,423.0,0.0118,37.0,0.0875,580.0,0.0,0.0,0.0
M18333,无锡荣事达汽车贸易服务有限公司,东区,晏礼奎 ,460084.05,317219.39,142864.66,0.0,55331.75,24682.0,30649.75,316457.35,79144.0,237313.35,4654.18,1265.6,3388.58,70501.4,34708.5,35792.9,13139.37,3064.56,10074.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17793.55,4330.16,13463.39,108510.69,49494.0,59016.69,0.0,0.0,0.0,0.0,0.0,0.0,333779.81,89040.5,244739.31,27788.08,11250.0,16538.08,123859.44,53824.16,70035.28,333779.81,89040.5,244739.31,0.0,0.0,0.0,0.0,0.0,0.0,91687.46,19758.3,71929.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.12,253.12,0.0,213.0,272.0,80.0,42.0,12.0,118.0,20.0,0.0,0.0,0.0,0.0,47.0,32.0,189.0,0.0,0.0,51.0,204.0,51.0,0.0,0.0,33.0,0.0,0.0,0.0,2.0,242094.0235,217990.0265,75125.3665,0.2368,23579.5218,176950.9811,2946.5485,29856.2403,8760.7318,0.0,0.0,0.0,0.0,47675.0186,11707.2803,0.0,0.0,182711.7246,54644.3485,0.0,0.0,0.0,0.0,9973.0,6800.0,1111.0,8818.0,9603.0,3366.0,2798.0,436.0,507.0,1962.0,251.0,888.0,5797.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,24214.95,24.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,21.0,0.0824,444.0,0.0,0.0,0.0
M18382,哈尔滨乾丰汽车销售服务有限责任公司,北区,邵传海,77188.49,43990.19,33198.3,0.0,7451.89,4402.8,3049.09,46122.45,26053.2,20069.25,0.0,0.0,0.0,23614.15,2742.3,20871.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77188.49,33198.3,43990.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30283.46,7145.1,23138.36,46122.45,26053.2,20069.25,0.0,0.0,0.0,0.0,0.0,0.0,979.81,120.15,859.66,569.31,480.15,89.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,97.0,35.0,14.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,66.0,14.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,22161.8138,55026.6762,21828.3762,0.4962,2352.4582,14583.753,0.0,5225.6026,0.0,0.0,0.0,0.0,0.0,22161.8138,0.0,0.0,0.0,0.0,677.7172,61.246,0.0,0.0,0.0,20587.0,18657.0,850.0,20499.0,12099.0,1418.0,1793.0,257.0,326.0,1309.0,292.0,756.0,17646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,5937.5762,6.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,7.0,0.0583,176.0,0.0,0.0,0.0
M18221,贵港万马汽车销售服务有限公司,南区,薛仲锋,123045.31,77866.63,45178.68,0.0,32597.36,11566.0,21031.36,54498.28,20909.0,33589.28,2498.84,696.08,1802.76,30542.56,9386.0,21156.56,2908.27,2621.6,286.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5407.11,3317.68,2089.43,64990.27,22243.0,42747.27,0.0,0.0,0.0,0.0,0.0,0.0,52647.93,19618.0,33029.93,15198.08,4800.0,10398.08,46965.79,17422.68,29543.11,74884.54,27756.0,47128.54,0.0,0.0,0.0,0.0,0.0,0.0,16647.8,3867.48,12780.32,11599.66,6183.0,5416.66,0.0,0.0,0.0,0.0,0.0,0.0,379.68,379.68,0.0,90.0,109.0,35.0,9.0,6.0,46.0,13.0,0.0,0.0,0.0,0.0,26.0,19.0,82.0,0.0,0.0,8.0,86.0,12.0,0.0,0.0,14.0,6.0,0.0,0.0,3.0,56417.9746,66627.3354,21448.6554,0.2755,14938.0509,25261.3623,1567.578,14401.7054,249.278,0.0,0.0,0.0,0.0,29731.3013,1816.856,0.0,0.0,24869.8173,9802.3388,4095.4986,0.0,0.0,0.0,3230.0,2055.0,437.0,2525.0,1747.0,1686.0,1337.0,117.0,173.0,724.0,134.0,505.0,1577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,6152.2655,69.0,0.0,18.0,0.0,0.0,0.0,54.0,0.0,2.0,0.037,297.0,0.0,0.0,0.0
A13776,浙江裕非汽车销售服务有限公司,东区,李波,421701.48,279314.26,142387.22,0.0,147039.32,65995.0,81044.32,111561.77,14857.0,96704.77,5941.08,1609.12,4331.96,127152.95,43896.0,83256.95,17287.56,5084.1,12203.46,0.0,0.0,0.0,0.0,0.0,12718.8,10946.0,1772.8,23228.64,6693.22,16535.42,286911.07,120837.0,166074.07,0.0,0.0,0.0,0.0,0.0,0.0,111561.77,14857.0,96704.77,73104.29,25540.0,47564.29,274690.37,101245.22,173445.15,122410.83,22557.0,99853.83,19124.61,18585.0,539.61,0.0,0.0,0.0,61118.08,22157.96,38960.12,14428.91,5602.8,8826.11,0.0,0.0,0.0,0.0,0.0,0.0,253.12,253.12,0.0,279.0,694.0,420.0,8.0,15.0,204.0,34.0,0.0,0.0,0.0,13.0,117.0,49.0,637.0,0.0,0.0,8.0,584.0,17.0,10.0,0.0,148.0,44.0,0.0,0.0,2.0,120513.2331,301188.2469,158801.0269,0.5685,39939.8196,29973.3413,2672.5101,36117.7695,10380.4962,0.0,0.0,0.0,1429.2964,77486.8855,13053.0063,0.0,0.0,29973.3413,13878.1632,4050.0017,0.0,0.0,0.0,44755.0,39160.0,1690.0,42766.0,12146.0,4328.0,5082.0,716.0,653.0,3498.0,348.0,1169.0,38074.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,72.0,5856.965,153.0,0.0,25.0,0.0,0.0,0.0,652.0,0.0,76.0,0.1166,863.0,0.9942,814.0,0.9487
