经销商代码之计数,经销商名称之计数,服务大区,服务区域经理,1月零附件达成,2月零附件达成,3月零附件达成,4月零附件达成,5月零附件达成,6月零附件达成,7月零附件达成,8月零附件达成,9月零附件达成,10月零附件达成,11月零附件达成,Unnamed: 15,Unnamed: 16
A13311,宁波鑫之源汽车有限公司,东区,李波,910265.01,598045.23,329731.0599999997,,,,,,,,,,1838041.2999999998
A13314,海口优之杰汽车服务有限公司,南区,宋扬,1281074.12,450016.53,370515.55999999976,,,,,,,,,,2101606.21
A15217,杭州骏田汽车有限公司,东区,李波,898918.0700000001,981120.0,473841.60999999935,,,,,,,,,,2353879.6799999992
A13291,南京天和汽车销售服务有限公司,东区,钱曦,923873.45,850242.24,580429.8699999999,,,,,,,,,,2354545.5599999996
A13297,常州外汽永嘉汽车销售服务有限公司,东区,晏礼奎,624557.98,587371.1,177579.74999999985,,,,,,,,,,1389508.8299999998
M18224,广州市福马汽车销售服务有限公司,南区,王胜文,575607.61,446899.17,228463.07000000007,,,,,,,,,,1250969.85
A13475,西安骏雄汽车销售服务有限公司,西区,李兴坤,847625.2,448613.44000000006,266615.4199999998,,,,,,,,,,1562854.06
A22796,陕西广行汽车销售服务有限公司,西区,李兴坤,735424.47,375453.58999999997,247887.2299999997,,,,,,,,,,1358765.2899999998
A17997,武汉银马汽车销售有限公司,中区,张哲,778636.62,453796.57000000007,278876.82999999984,,,,,,,,,,1511310.0199999998
A13776,浙江裕菲汽车销售服务有限公司,东区,李波,919084.85,583938.46,398051.7599999994,,,,,,,,,,1901075.0699999994
M18349,广西鑫广达汽车销售服务有限公司,南区,薛仲锋,683796.23,593277.9,318229.38999999966,,,,,,,,,,1595303.5199999996
A28856,重庆银马汽车销售服务有限公司,西区,孔立刚,629769.72,471177.94000000006,294240.9899999998,,,,,,,,,,1395188.65
A13302,合肥建银海康达汽车销售有限公司,中区,李伟,858981.5399999999,586934.8,144555.75999999986,,,,,,,,,,1590472.0999999996
M18892,辽宁驰敖中联汽车销售服务有限公司,北区,鲁金泽,725964.1000000001,454526.77,208477.56000000006,,,,,,,,,,1388968.4300000002
A13342,珠海市新通达汽车销售服务有限公司,南区,宋扬,730997.01,528939.44,274692.0099999999,,,,,,,,,,1534628.46
M18270,山东惠骋汽车贸易有限公司,中区,李伟,546819.52,340898.2,166790.26,,,,,,,,,,1054507.98
A13289,大连众联达贸易有限公司,北区,唐宏宇,614203.14,425907.98,175722.66,,,,,,,,,,1215833.78
A13343,深圳通利华宝安汽车销售服务有限公司,南区,薛仲锋,814484.73,466347.76,420219.49999999907,,,,,,,,,,1701051.989999999
M18238,1衡阳致瑞汽车销售服务有限公司,南区,李志杰,683808.03,791728.0,197606.69999999992,,,,,,,,,,1673142.73
