经销商代码,经销商简称,状态,营销大区,服务区域经理,26年分配,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,是否有任务书,Q1,Q2,Q3,Q4
经销商代码,经销商名称,状态,营销大区,服务区域经理,26年分配,0.09850746268656717,0.05970149253731343,0.10597014925373134,0.08358208955223881,0.08955223880597014,0.08507462686567165,0.07313432835820896,0.0791044776119403,0.0955223880597015,0.08358208955223881,0.07164179104477612,0.07462686567164178,是否有任务书,,,,
A13311,宁波鑫之源汽车有限公司,正常,东区,李波,9800000,965400,585100,1038600,819200,877700,833800,716800,775300,936200,819200,702100,730600,是,2589100.0,,,
A15217,杭州骏田汽车有限公司,正常,东区,李波,11500000,1132900,686600,1218700,961200,1029900,978400,841100,909800,1098600,961200,823900,857700,是,3038200.0,,,
A13291,南京天和汽车销售服务有限公司,正常,东区,钱曦,8000000,788100,477700,847800,668700,716500,680600,585100,632900,764200,668700,573200,596500,是,2113600.0,,,
A13297,常州外汽永嘉汽车销售服务有限公司,正常,东区,晏礼奎,7500000,738900,447800,794800,626900,671700,638100,548600,593300,716500,626900,537400,559100,是,1981500.0,,,
A13776,浙江裕菲汽车销售服务有限公司,正常,东区,李波,8280000,815700,494400,877500,692100,741500,704500,605600,655000,791000,692100,593200,617400,是,2187600.0,,,
M18538,上海交运起荣汽车销售服务有限公司,正常,东区,张晔,5430000,534900,324200,575500,453900,486300,462000,397200,429600,518700,453900,389100,404700,是,1434600.0,,,
M18026,南京天瑞汽车销售服务有限公司,正常,东区,钱曦,5000000,492600,298600,529900,418000,447800,425400,365700,395600,477700,418000,358300,372400,是,1321100.0,,,
A13308,义乌市祥马汽车销售服务有限公司,正常,东区,陈秋刚,6410000,631500,382700,679300,535800,574100,545400,468800,507100,612300,535800,459300,477900,是,1693500.0,,,
A16596,台州市诺亚汽车贸易有限公司,正常,东区,李波,5900000,581200,352300,625300,493200,528400,502000,431500,466800,563600,493200,422700,439800,是,1558800.0,,,
A13544,昆山富骏汽车销售服务有限公司,正常,东区,晏礼奎,5900000,581200,352300,625300,493200,528400,502000,431500,466800,563600,493200,422700,439800,是,1558800.0,,,
M18333,无锡荣事达汽车贸易服务有限公司,正常,东区,晏礼奎,5200000,512300,310500,551100,434700,465700,442400,380300,411400,496800,434700,372600,387500,是,1373900.0,,,
M18537,上海路帅汽车销售有限公司,正常,东区,张晔,5360000,528000,320000,568000,448000,480000,456000,392000,424000,512000,448000,384000,400000,是,1416000.0,,,
A14837,无锡市东方运达汽车销售服务有限公司,正常,东区,晏礼奎,5300000,522100,316500,561700,443000,474700,450900,387700,419300,506300,443000,379800,395000,是,1400300.0,,,
M18041,绍兴国赛汽车有限公司,正常,东区,李波,5000000,492600,298600,529900,418000,447800,425400,365700,395600,477700,418000,358300,372400,是,1321100.0,,,
A24515,上海弘绅汽车销售服务有限公司,正常,东区,张晔,4830000,475800,288400,511900,403800,432600,411000,353300,382100,461400,403800,346100,359800,是,1276100.0,,,
M18519,宁波合辰汽车销售服务有限公司,正常,东区,李波,5110000,503400,305100,541600,427200,457700,434800,373800,404300,488200,427200,366100,380600,是,1350100.0,,,
M18526,上海景和金沙汽车销售有限公司,正常,东区,张晔,4450000,438400,265700,471600,372000,398600,378600,325500,352100,425100,372000,318900,331500,是,1175700.0,,,
M18078,瑞安市深发汽车销售服务有限公司,正常,东区,陈秋刚,4480000,441400,267500,474800,374500,401200,381200,327700,354400,428000,374500,321000,333800,是,1183700.0,,,
M18520,嘉兴市禾通汽车销售服务有限公司,正常,东区,张晔,4190000,412800,250200,444100,350300,375300,356500,306500,331500,400300,350300,300200,312000,是,1107100.0,,,
M18331,淮安市宏宇翔舜汽车销售服务有限公司,正常,东区,钱曦,4000000,394100,238900,423900,334400,358300,340300,292600,316500,382100,334400,286600,297900,是,1056900.0,,,
A17996,苏州瀚龙汽车销售有限公司,正常,东区,晏礼奎,8390000,826500,500900,889100,701300,751400,713800,613600,663700,801500,701300,601100,625800,是,2216500.0,,,
M18539,南通银达汽车销售服务有限公司,正常,东区,陈秋刚,4020000,396000,240000,426000,336000,360000,342000,294000,318000,384000,336000,288000,300000,是,1062000.0,,,
M18220,上海苏源汽车销售服务有限公司,正常,东区,张晔,3830000,377300,228700,405900,320200,343000,325900,280200,303000,365900,320200,274400,285300,是,1011900.0,,,
M18014,舟山凯桥汽车销售有限公司,正常,东区,李波,3130000,308400,186900,331700,261700,280300,266300,229000,247600,299000,261700,224300,233100,是,827000.0,,,
M18180,南京天辉汽车销售服务有限公司,正常,东区,钱曦,3500000,344800,209000,370900,292600,313500,297800,256000,276900,334400,292600,250800,260700,是,924700.0,,,
A13300,泰州天顺达汽车贸易有限公司,正常,东区,钱曦,3700000,364500,220900,392100,309300,331400,314800,270600,292700,353500,309300,265100,275800,是,977500.0,,,
M18511,温州将军汽车销售服务有限公司,正常,东区,陈秋刚,3280000,323200,195900,347600,274200,293800,279100,239900,259500,313400,274200,235000,244200,是,866700.0,,,
A19795,衢州龙达汽车销售服务有限公司,正常,东区,陈秋刚,1320000,130100,78900,139900,110400,118300,112300,96600,104500,126100,110400,94600,97900,是,348900.0,,,
M23003,湖州长马汽车销售服务有限公司,正常,东区,张晔,3010000,296600,179800,319000,251600,269600,256100,220200,238200,287600,251600,215700,224000,是,795400.0,,,
M18105,苏州恒合汽车销售有限公司,正常,东区,晏礼奎,3200000,315300,191100,339200,267500,286600,272300,234100,253200,305700,267500,229300,238200,是,845600.0,,,
A26215,桐乡市振华汽车贸易有限公司,正常,东区,张晔,2890000,284700,172600,306300,241600,258900,245900,211400,228700,276100,241600,207100,215100,是,763600.0,,,
M18037,常熟豪骏汽车销售服务有限公司,正常,东区,晏礼奎,2500000,246300,149300,265000,209000,223900,212700,182900,197800,238900,209000,179200,186000,是,660600.0,,,
M18947,南通正马,正常,东区,陈秋刚,960000,94600,57400,101800,80300,86000,81700,70300,76000,91800,80300,68800,71000,是,253800.0,,,
A22780,盐城申大汽车销售服务有限公司,正常,东区,陈秋刚,2170000,213800,129600,230000,181400,194400,184700,158800,171700,207300,181400,155500,161400,是,573400.0,,,
A26095,太仓华洋汽车销售服务有限公司,正常,东区,晏礼奎,2400000,236500,143300,254400,200600,215000,204200,175600,189900,229300,200600,172000,178600,是,634200.0,,,
M18018,诸暨国赛汽车有限公司,正常,东区,李波,1600000,157700,95600,169600,133800,143300,136200,117100,126600,152900,133800,114700,118700,是,422900.0,,,
M18163,张家港全骏汽车销售服务有限公司,正常,东区,晏礼奎,2300000,226600,137400,243800,192300,206000,195700,168300,182000,219800,192300,164800,171000,是,607800.0,,,
M18927,徐州正马汽车销售服务有限公司,正常,东区,陈秋刚,2710000,267000,161800,287200,226600,242700,230600,198200,214400,258900,226600,194200,201800,是,716000.0,,,
M18319,慈溪市新亚汽车销售服务有限公司,正常,东区,陈秋刚,1740000,171500,103900,184400,145500,155900,148100,127300,137700,166300,145500,124700,129200,是,459800.0,,,
M18070,泰兴市天利达汽车贸易有限公司,正常,东区,钱曦,1900000,187200,113500,201400,158900,170200,161700,139000,150300,181500,158900,136200,141200,是,502100.0,,,
M18137,宿迁永泓汽车销售服务有限公司,正常,东区,钱曦,1660000,163600,99200,176000,138800,148700,141300,121500,131400,158600,138800,119000,123100,是,438800.0,,,
M18239,丽水旺昌汽车销售服务有限公司,正常,东区,陈秋刚,1770000,174400,105700,187600,148000,158600,150600,129500,140100,169100,148000,126900,131500,是,467700.0,,,
M18939,连云港佳成,正常,东区,钱曦,1565000,154200,93500,165900,130900,140200,133200,114500,123800,149500,130900,112200,116200,是,413600.0,,,
M18083,镇江天佑汽车销售服务有限公司,正常,东区,钱曦,3000000,295600,179200,318000,250800,268700,255300,219500,237400,286600,250800,215000,223100,是,792800.0,,,
A13313,宁波万事得汽车有限公司,正常,东区,李波,900000,88700,53800,95400,75300,80600,76600,65900,71200,86000,75300,64500,66700,是,237900.0,,,
A22778,宜兴市苏源汽车销售服务有限公司,退网,东区,晏礼奎,800000,78900,47800,84800,66900,71700,68100,58600,63300,76500,66900,57400,59100,,211500.0,,,
A13314,海口优之杰汽车服务有限公司,正常,南区,宋扬,10500000,1034400,626900,1112700,877700,940300,893300,768000,830600,1003000,877700,752300,783100,是,2774000.0,,,
M18224,广州市福马汽车销售服务有限公司,正常,南区,王胜文,8500000,837400,507500,900800,710500,761200,723200,621700,672400,812000,710500,609000,633800,是,2245700.0,,,
M18349,广西鑫广达汽车销售服务有限公司,正常,南区,薛仲锋,6600000,650200,394100,699500,551700,591100,561500,482700,522100,630500,551700,472900,492000,是,1743800.0,,,
A13342,珠海市新通达汽车销售服务有限公司,正常,南区,宋扬,7100000,699500,423900,752400,593500,635900,604100,519300,561700,678300,593500,508700,529200,是,1875800.0,,,
A13343,深圳通利华宝安汽车销售服务有限公司,正常,南区,薛仲锋,7400000,729000,441800,784200,618600,662700,629600,541200,585400,706900,618600,530200,551800,是,1955000.0,,,
