求和项:TotalAmount,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
行标签,24日,26日,27日,28日,29日,30日,,,第一周,第二周,第四周
A13258,0,0,0,0,0,0,,,7060.5599999999995,0,0
A13261,0,28900.170000000002,2392.94,0,0,0,,,98705.34,18858.149999999998,31293.11
A13265,1683.21,15666.36,1792.0400000000002,12746.34,0,29141.88,,,71004.3,17144.11,61029.83
A13275,0,0,0,0,0,0,,,42293.33,1273.62,0
A13279,0,7089.3,0,0,0,6971.34,,,24846.88,16598.86,14060.64
A13289,0,1380.54,0,35808.36,0,0,,,481.84,999.91,37188.9
A13291,0,22453.8,0,16896.36,0,20586.6,,,102976.31000000003,28656.49,59936.76
A13297,0,30616.5,0,0,0,0,,,4706.64,33964.74,30616.5
A13300,0,0,0,0,0,0,,,19479.81,47668.25,0
A13302,0,142076.46,0,32374.5,0,0,,,123907.89000000001,27851.29,174450.96
A13305,0,34637.94,0,0,0,0,,,0,15208.83,34637.94
A13308,0,0,0,31698.899999999998,545.24,3429.08,,,63316.880000000005,32323.54,35673.22
A13311,0,60742.219999999994,0,40686.24,0,25086.68,,,74951.09,46982.66,126515.13999999998
A13314,0,80810.58,1090.48,91175.08999999998,2306.29,0,,,14601.03,25120.340000000004,175382.43999999997
A13338,0,24493.2,0,0,418.66,30876.269999999997,,,32302.839999999997,2980.43,55788.13
A13339,0,41392.89,0,0,0,6637,,,20917.530000000002,7866.39,48029.89
A13340,0,7467.119999999999,0,0,1114.86,0,,,21284.27,22403.260000000002,8581.98
A13341,0,273.08,0,0,0,0,,,1737.79,6854.76,273.08
A13342,0,17013.870000000003,2589.09,15467.34,337.4,0,,,71347.46,25678.97,35407.700000000004
A13343,0,17030.2,1512.39,14178.6,0,0,,,36055.979999999996,7757.549999999999,32721.190000000002
A13475,0,34207.68,0,7347.96,0,14037,,,72714.14,30317.199999999997,55592.64
A13544,0,0,1221.2,100469.85,0,0,,,109762.69999999998,17073.260000000002,101691.05
A13558,0,21392.98,1512.39,0,159.3,15736.47,,,63116.25,22364.570000000003,38801.14
A13776,0,13480.44,0,0,0,0,,,116031.00000000001,73268.12,13480.44
A14837,0,0,0,64074,0,0,,,9647,9995.75,64074
A14861,0,557.43,0,0,0,6123.3,,,4933.08,1983.52,6680.7300000000005
A14981,0,12994.880000000001,0,7089.3,0,7089.3,,,48452.11,28445.920000000002,27173.48
A15116,0,10365.480000000001,0,14695.92,0,0,,,19408.4,18369.9,25061.4
