经销商代码之计数,经销商名称之计数,经销商简称,省份,城市,投资主体,状态,服务大区,服务区域经理,1月事故件金额,2月事故件金额,3月事故件金额,4月事故件金额,5月事故件金额,6月事故件金额,7月事故件金额,8月事故件金额,9月事故件金额,10月事故件金额,11月事故件金额,12月事故件金额,1月事故台次,2月事故台次,3月事故台次,4月事故台次,5月事故台次,6月事故台次,7月事故台次,8月事故台次,9月事故台次,10月事故台次,11月事故台次,12月事故台次
A13311,宁波鑫之源汽车有限公司,宁波鑫之源,浙江省,宁波市,宁波鑫之源,正常,东区,李波,294726.49,,,,,,,,,,,,106,,,,,,,,,,,
A13314,海口优之杰汽车服务有限公司,海口优之杰,海南省,海口市,海口优之杰,正常,南区,宋扬,470846.319999999,,,,,,,,,,,,156,,,,,,,,,,,
A15217,杭州骏田汽车有限公司,杭州骏田,浙江省,杭州市,广成集团,正常,东区,李波,251989.0799999999,,,,,,,,,,,,80,,,,,,,,,,,
A13291,南京天和汽车销售服务有限公司,南京天和,江苏省,南京市,南京天和,正常,东区,钱曦,413251.7999999998,,,,,,,,,,,,172,,,,,,,,,,,
A13297,常州外汽永嘉汽车销售服务有限公司,常州外汽永嘉,江苏省,常州市,常州外汽,正常,东区,晏礼奎,313390.8900000001,,,,,,,,,,,,118,,,,,,,,,,,
M18224,广州市福马汽车销售服务有限公司,广州市福马,广东省,广州市,广州东富,正常,南区,王胜文,179485.44999999998,,,,,,,,,,,,94,,,,,,,,,,,
A13475,西安骏雄汽车销售服务有限公司,西安骏雄,陕西省,西安市,西安骏广,正常,西区,李兴坤,298661.33999999973,,,,,,,,,,,,155,,,,,,,,,,,
A22796,陕西广行汽车销售服务有限公司,陕西广行,陕西省,西安市,西安骏广,正常,西区,李兴坤,390537.6599999992,,,,,,,,,,,,44,,,,,,,,,,,
A17997,武汉银马汽车销售有限公司,武汉银马,湖北省,武汉市,建银集团,正常,中区,张哲,316056.22999999963,,,,,,,,,,,,80,,,,,,,,,,,
A13776,浙江裕菲汽车销售服务有限公司,浙江裕菲,浙江省,杭州市,浙江裕非,正常,东区,李波,375093.5599999995,,,,,,,,,,,,88,,,,,,,,,,,
M18349,广西鑫广达汽车销售服务有限公司,广西鑫广达,广西壮族自治区,南宁市,长久集团,正常,南区,薛仲锋,294767.4500000001,,,,,,,,,,,,290,,,,,,,,,,,
A28856,重庆银马汽车销售服务有限公司,重庆银马,重庆市,重庆市,重庆银马,正常,西区,孔立刚,248574.41999999993,,,,,,,,,,,,118,,,,,,,,,,,
A13302,合肥建银海康达汽车销售有限公司,合肥建银海康,安徽省,合肥市,建银集团,正常,中区,李伟,271801.0200000001,,,,,,,,,,,,73,,,,,,,,,,,
M18892,辽宁驰敖中联汽车销售服务有限公司,辽宁驰敖中联,辽宁省,沈阳市,辽宁驰敖,正常,北区,鲁金泽,298189.67999999993,,,,,,,,,,,,183,,,,,,,,,,,
A13342,珠海市新通达汽车销售服务有限公司,珠海市新通达,广东省,珠海市,深圳通利华,正常,南区,宋扬,292022.76,,,,,,,,,,,,101,,,,,,,,,,,
M18270,山东惠骋汽车贸易有限公司,山东惠骋,山东省,济南市,山东顺骋集团,正常,中区,李伟,201186.45,,,,,,,,,,,,1,,,,,,,,,,,
A13289,大连众联达贸易有限公司,大连众联达,辽宁省,大连市,长久集团,正常,北区,唐宏宇,338715.8799999994,,,,,,,,,,,,137,,,,,,,,,,,
A13343,深圳通利华宝安汽车销售服务有限公司,深圳通利华宝,广东省,深圳市,深圳通利华,正常,南区,薛仲锋,279459.9099999998,,,,,,,,,,,,9,,,,,,,,,,,
M18238,1衡阳致瑞汽车销售服务有限公司,衡阳致瑞,湖南省,衡阳市,湖南长驰,正常,南区,李志杰,413604.8699999997,,,,,,,,,,,,107,,,,,,,,,,,
A15940,昆明京源达汽车销售有限责任公司,昆明京源达,云南省,昆明市,正能量集团,正常,西区,蒋旗,319299.3299999997,,,,,,,,,,,,95,,,,,,,,,,,
A18077,深圳通利华福滨汽车服务有限公司,通利华福滨,广东省,深圳市,深圳通利华,正常,南区,薛仲锋,190779.63,,,,,,,,,,,,2,,,,,,,,,,,
M18538,上海交运起荣汽车销售服务有限公司,上海交运起荣,上海市,上海市,上海交运,正常,东区,张晔,191481.0699999999,,,,,,,,,,,,75,,,,,,,,,,,
M18026,南京天瑞汽车销售服务有限公司,南京天瑞,江苏省,南京市,南京天和,正常,东区,钱曦,194995.4699999998,,,,,,,,,,,,79,,,,,,,,,,,
