经销商代码之计数,经销商名称之计数,经销商简称,省份,城市,投资主体,状态,服务大区,服务区域经理,1月机油金额,2月机油金额,3月机油金额,4月机油金额,5月机油金额,6月机油金额,7月机油金额,8月机油金额,9月机油金额,10月机油金额,11月机油金额,12月机油金额,1月保养台次,2月保养台次,3月保养台次,4月保养台次,5月保养台次,6月保养台次,7月保养台次,8月保养台次,9月保养台次,10月保养台次,11月保养台次,12月保养台次
A13311,宁波鑫之源汽车有限公司,宁波鑫之源,浙江省,宁波市,宁波鑫之源,正常,东区,李波,241475.0400000001,56042.52,,,,,,,,,,,909.0,600.0,,,,,,,,,,
A13314,海口优之杰汽车服务有限公司,海口优之杰,海南省,海口市,海口优之杰,正常,南区,宋扬,171957.96000000005,35446.5,,,,,,,,,,,941.0,745.0,,,,,,,,,,
A15217,杭州骏田汽车有限公司,杭州骏田,浙江省,杭州市,广成集团,正常,东区,李波,241409.91000000003,230075.54999999996,,,,,,,,,,,1116.0,823.0,,,,,,,,,,
A13291,南京天和汽车销售服务有限公司,南京天和,江苏省,南京市,南京天和,正常,东区,钱曦,191183.76000000004,122055.66000000002,,,,,,,,,,,879.0,671.0,,,,,,,,,,
A13297,常州外汽永嘉汽车销售服务有限公司,常州外汽永嘉,江苏省,常州市,常州外汽,正常,东区,晏礼奎,99893.57999999999,198207.36000000002,,,,,,,,,,,693.0,407.0,,,,,,,,,,
M18224,广州市福马汽车销售服务有限公司,广州市福马,广东省,广州市,广州东富,正常,南区,王胜文,84444.90000000001,69841.20000000001,,,,,,,,,,,527.0,363.0,,,,,,,,,,
A13475,西安骏雄汽车销售服务有限公司,西安骏雄,陕西省,西安市,西安骏广,正常,西区,李兴坤,131236.83,102591.03,,,,,,,,,,,714.0,608.0,,,,,,,,,,
A22796,陕西广行汽车销售服务有限公司,陕西广行,陕西省,西安市,西安骏广,正常,西区,李兴坤,76628.76,5880.0,,,,,,,,,,,501.0,448.0,,,,,,,,,,
A17997,武汉银马汽车销售有限公司,武汉银马,湖北省,武汉市,建银集团,正常,中区,张哲,110387.81999999999,99352.98,,,,,,,,,,,429.0,303.0,,,,,,,,,,
A13776,浙江裕菲汽车销售服务有限公司,浙江裕菲,浙江省,杭州市,浙江裕非,正常,东区,李波,170198.94,82899.42000000001,,,,,,,,,,,682.0,463.0,,,,,,,,,,
M18349,广西鑫广达汽车销售服务有限公司,广西鑫广达,广西壮族自治区,南宁市,长久集团,正常,南区,薛仲锋,141563.46000000002,151204.56,,,,,,,,,,,913.0,610.0,,,,,,,,,,
A28856,重庆银马汽车销售服务有限公司,重庆银马,重庆市,重庆市,重庆银马,正常,西区,孔立刚,137318.27999999997,78510.84,,,,,,,,,,,517.0,479.0,,,,,,,,,,
A13302,合肥建银海康达汽车销售有限公司,合肥建银海康,安徽省,合肥市,建银集团,正常,中区,李伟,270892.92000000004,0.0,,,,,,,,,,,506.0,454.0,,,,,,,,,,
M18892,辽宁驰敖中联汽车销售服务有限公司,辽宁驰敖中联,辽宁省,沈阳市,辽宁驰敖,正常,北区,鲁金泽,173325.83999999997,93160.86,,,,,,,,,,,612.0,432.0,,,,,,,,,,
A13342,珠海市新通达汽车销售服务有限公司,珠海市新通达,广东省,珠海市,深圳通利华,正常,南区,宋扬,114829.38,25081.079999999998,,,,,,,,,,,594.0,312.0,,,,,,,,,,
M18270,山东惠骋汽车贸易有限公司,山东惠骋,山东省,济南市,山东顺骋集团,正常,中区,李伟,152122.25999999998,10277.220000000001,,,,,,,,,,,526.0,422.0,,,,,,,,,,
A13289,大连众联达贸易有限公司,大连众联达,辽宁省,大连市,长久集团,正常,北区,唐宏宇,63027.990000000005,61955.82,,,,,,,,,,,243.0,195.0,,,,,,,,,,
A13343,深圳通利华宝安汽车销售服务有限公司,深圳通利华宝,广东省,深圳市,深圳通利华,正常,南区,薛仲锋,62009.67,17014.32,,,,,,,,,,,732.0,363.0,,,,,,,,,,
M18238,1衡阳致瑞汽车销售服务有限公司,衡阳致瑞,湖南省,衡阳市,湖南长驰,正常,南区,李志杰,18984.54,132453.3,,,,,,,,,,,658.0,460.0,,,,,,,,,,
A15940,昆明京源达汽车销售有限责任公司,昆明京源达,云南省,昆明市,正能量集团,正常,西区,蒋旗,100371.38999999998,76054.79999999999,,,,,,,,,,,505.0,442.0,,,,,,,,,,
A18077,深圳通利华福滨汽车服务有限公司,通利华福滨,广东省,深圳市,深圳通利华,正常,南区,薛仲锋,122049.24,66673.08,,,,,,,,,,,473.0,228.0,,,,,,,,,,
M18538,上海交运起荣汽车销售服务有限公司,上海交运起荣,上海市,上海市,上海交运,正常,东区,张晔,121160.06999999999,75782.19,,,,,,,,,,,421.0,278.0,,,,,,,,,,
M18026,南京天瑞汽车销售服务有限公司,南京天瑞,江苏省,南京市,南京天和,正常,东区,钱曦,96792.72000000002,72337.92,,,,,,,,,,,394.0,327.0,,,,,,,,,,
A13339,惠州市通力达汽车销售服务有限公司,惠州市通力达,广东省,惠州市,深圳通利华,正常,南区,张裕坤,46114.56,38284.44,,,,,,,,,,,657.0,361.0,,,,,,,,,,
A13308,义乌市祥马汽车销售服务有限公司,义乌市祥马,浙江省,金华市,赵龙集团,正常,东区,陈秋刚,141725.70000000004,95633.76000000001,,,,,,,,,,,591.0,340.0,,,,,,,,,,
A14981,江门市振宇汽车销售服务有限公司,江门市振宇,广东省,江门市,江门振升,正常,南区,宋扬,107088.39000000001,54018.90000000001,,,,,,,,,,,541.0,352.0,,,,,,,,,,
M18571,重庆万事新汽车销售服务有限公司,重庆万事新,重庆市,重庆市,重庆万事新,正常,西区,孔立刚,125893.50000000001,136217.03999999998,,,,,,,,,,,453.0,463.0,,,,,,,,,,
A17995,哈尔滨龙洋汽车销售有限公司,哈尔滨龙洋,黑龙江省,哈尔滨市,西安骏广,正常,北区,邵传海,27746.399999999998,78132.95999999999,,,,,,,,,,,411.0,304.0,,,,,,,,,,
M18613,广州博程汽车有限公司,广州博程,广东省,广州市,广州博程,正常,南区,王胜文,40685.73,13284.6,,,,,,,,,,,233.0,154.0,,,,,,,,,,
M18042,深圳通利华龙城汽车销售服务有限公司,通利华龙城,广东省,深圳市,深圳通利华,正常,南区,薛仲锋,99552.54000000001,27402.210000000003,,,,,,,,,,,810.0,412.0,,,,,,,,,,
A16596,台州市诺亚汽车贸易有限公司,台州市诺亚,浙江省,台州市,浙江国赛,正常,东区,李波,34934.04,32118.42,,,,,,,,,,,548.0,466.0,,,,,,,,,,
M18003,重庆金团汽车销售服务有限公司,重庆金团,重庆市,重庆市,重庆金团,正常,西区,孔立刚,112950.03000000003,92895.36,,,,,,,,,,,363.0,394.0,,,,,,,,,,
A13544,昆山富骏汽车销售服务有限公司,昆山富骏,江苏省,苏州市,江苏富骏,正常,东区,晏礼奎,206370.33,4141.62,,,,,,,,,,,561.0,345.0,,,,,,,,,,
M18196,陕西骏威汽车销售服务有限公司,陕西骏威,陕西省,西安市,西安骏广,正常,西区,李兴坤,32136.84,44625.54,,,,,,,,,,,365.0,362.0,,,,,,,,,,
M18190,河南小伙伴汽车销售有限公司,河南小伙伴,河南省,郑州市,河南小伙伴,正常,中区,倪超,106245.0,42528.42,,,,,,,,,,,358.0,450.0,,,,,,,,,,
M18333,无锡荣事达汽车贸易服务有限公司,无锡荣事达,江苏省,无锡市,无锡荣事达,正常,东区,晏礼奎,55880.16,64357.259999999995,,,,,,,,,,,449.0,260.0,,,,,,,,,,
M18537,上海路帅汽车销售有限公司,上海路帅,上海市,上海市,,正常,东区,张晔,104406.42000000003,56615.45999999999,,,,,,,,,,,325.0,228.0,,,,,,,,,,
M18561,四川中鹏汽车销售服务有限公司,四川中鹏,四川省,成都市,四川中鹏,正常,西区,陈莉,27954.96,64254.299999999996,,,,,,,,,,,479.0,513.0,,,,,,,,,,
M18276,辽宁福达汽车销售服务有限公司,辽宁福达,辽宁省,沈阳市,辽宁福达,正常,北区,鲁金泽,75471.42,44351.94,,,,,,,,,,,377.0,279.0,,,,,,,,,,
A13558,绵阳星鸿达汽车销售服务有限公司,绵阳星鸿达,四川省,绵阳市,绵阳星鸿达,正常,西区,陈莉,120620.58000000002,89199.95999999999,,,,,,,,,,,430.0,439.0,,,,,,,,,,
M18285,吉林省仁德汽车销售服务有限公司,吉林省仁德,吉林省,长春市,吉林仁德,正常,北区,唐宏宇,51066.72,33444.36,,,,,,,,,,,231.0,185.0,,,,,,,,,,
A27896,青岛安隆达汽车销售有限公司,青岛安隆达,山东省,青岛市,青岛安隆达,正常,中区,李付敬,48437.7,47151.420000000006,,,,,,,,,,,264.0,253.0,,,,,,,,,,
A14837,无锡市东方运达汽车销售服务有限公司,无市东方运达,江苏省,无锡市,东方新纪元,正常,东区,晏礼奎,111946.5,50918.4,,,,,,,,,,,507.0,315.0,,,,,,,,,,
A13258,1江西江铃海外马自达汽车销售服务有限公司,江西江铃海外,江西省,南昌市,江西江铃海外,正常,南区,王胜文,2761.08,4141.62,,,,,,,,,,,335.0,312.0,,,,,,,,,,
A13305,成都东成安邦汽车销售服务有限公司,成都东成安邦,四川省,成都市,成都东成安邦,正常,西区,陈莉,74325.09,5522.16,,,,,,,,,,,480.0,410.0,,,,,,,,,,
M18131,四川西星实业发展有限公司,四川西星,四川省,成都市,四川西星,正常,西区,陈莉,105011.10000000002,80941.2,,,,,,,,,,,408.0,378.0,,,,,,,,,,
M18351,广东物通驭达汽车有限公司,广东物通驭达,广东省,广州市,广东物通集团,正常,南区,王胜文,97209.54000000001,56995.95,,,,,,,,,,,401.0,259.0,,,,,,,,,,
M18041,绍兴国赛汽车有限公司,绍兴国赛,浙江省,绍兴市,浙江国赛,正常,东区,李波,147446.46000000002,39637.8,,,,,,,,,,,607.0,354.0,,,,,,,,,,
A24515,上海弘绅汽车销售服务有限公司,上海弘绅,上海市,上海市,锦弘集团,正常,东区,张晔,37517.82,43246.32,,,,,,,,,,,192.0,132.0,,,,,,,,,,
M18519,宁波合辰汽车销售服务有限公司,宁波合辰,浙江省,宁波市,宁波合辰,正常,东区,李波,166691.78999999998,81963.18000000001,,,,,,,,,,,384.0,295.0,,,,,,,,,,
M18526,上海景和金沙汽车销售有限公司,上海景和金沙,上海市,上海市,上海景和,正常,东区,张晔,79027.65,33460.14,,,,,,,,,,,243.0,152.0,,,,,,,,,,
M18038,北京仁正利成汽车销售服务有限公司,北京仁正利成,北京市,北京市,北京仁正利成,正常,北区,祁玮,87446.70000000001,0.0,,,,,,,,,,,166.0,159.0,,,,,,,,,,
A21336,佛山骏迪汽车有限公司,佛山骏迪,广东省,佛山市,南宝集团,正常,南区,宋扬,55446.299999999996,74874.72,,,,,,,,,,,531.0,373.0,,,,,,,,,,
M18078,瑞安市深发汽车销售服务有限公司,瑞安市深发,浙江省,温州市,瑞安深发,正常,东区,陈秋刚,48205.5,63621.72,,,,,,,,,,,427.0,299.0,,,,,,,,,,
M18051,百色万马汽车销售服务有限公司,百色万马,广西壮族自治区,百色市,贵港万马,正常,南区,薛仲锋,58314.780000000006,28356.840000000004,,,,,,,,,,,301.0,277.0,,,,,,,,,,
M18520,嘉兴市禾通汽车销售服务有限公司,嘉兴市禾通,浙江省,嘉兴市,嘉兴禾通,正常,东区,张晔,77321.34000000003,27627.24,,,,,,,,,,,200.0,132.0,,,,,,,,,,
A13341,佛山海迪汽车有限公司,佛山海迪,广东省,佛山市,南宝集团,正常,南区,宋扬,47458.56,47902.740000000005,,,,,,,,,,,548.0,337.0,,,,,,,,,,
