数量,经销商代码,经销商名称,区域经理,管理内客户,忠诚用户,同城是否有店,最近距离,最近经销商,时间,城市
1.0,M18240,淮安市雨田领辰汽车销售服务有限公司,,7816,0,有,10公里,淮安宏宇,,
2.0,A22535,江阴市吉威汽车有限公司,,17934,328,无,50公里,无锡东方运达,,
3.0,A30475,浙江中振贸易有限公司,,4415,380,无,35公里,义乌祥马,,
4.0,M18562,绵阳嘉成汽车销售服务有限公司,,1,0,有,10公里,绵阳星鸿达,,
5.0,M18252,枣庄爱马行汽车销售服务有限公司,,2755,168,无,100公里,临沂长驰,,
6.0,M18507,六安市泰源汽车销售服务有限公司,,58,110,无,100公里,合肥贺悦,,
7.0,M18121,扬州天盛达汽车贸易有限公司,,0,2366,无,50公里,镇江天佑,,
8.0,M18323,新乡市弘森汽车销售服务有限公司,,6948,556,无,50公里,河南小伙伴,,
9.0,A21357,泸州安马车业有限公司,,4803,1283,无,100公里,乐山联合,4月,
10.0,M18910,喀什兴鹏汽车销售服务有限公司,,1136,17,无,475公里,阿克苏笑好,4月,
11.0,M18325,商丘市宝利鑫凯汽车销售服务有限公司,,4627,156,无,149公里,河南鑫马,4月,
12.0,M18352,佛山市广物驭达汽车销售服务有限公司,,153,309,有,28公里,广物驭达,4月,
13.0,M18269,厦门市亿海正旗汽车销售服务有限公司,,73,361,有,20公里,厦门吉顺丰,4月,
14.0,M18066,宁波鑫驰汽车有限公司,,13879,0,有,14公里, 宁波鑫之源,5月,
15.0,M18261,聊城驭马汽车销售服务有限公司经,,5159,1256,无,150公里,山东惠骋,5月,
16.0,M18393,浙江元通瑞达,,22479,830,有,10公里以上,杭州骏田,6月,
17.0,A19775,连云港报业,,3,658,无,150公里,宿迁,6月,
18.0,M18197,渭南骏广,,3697,606,无,100公里,陕西骏威,6月,
19.0,M18221,贵港万马汽车销售服务有限公司,,3230,1337,无,160公里左右,南宁马之悦,7月,
20.0,M18617,武汉龙泰汽车销售服务有限公司,,13683,2596,有,8公里,武汉龙泰元,7月,
21.0,A30495,怀化市恒旺汽车销售服务有限公司,,34,603,无,150公里,永州驭马,8月,
22.0,M18167,北海瑞祥盛,,3278,1311,无,230公里左右,南宁马之悦,8月,
23.0,M18081,泉州盛成,,290,497,有,,更换代码,8月,
24.0,M18242,邵阳驭马,,4594,1494,无,150公里,永州驭马,8月,
25.0,M18055,东莞莞泰通益,,8866,1445,有,,,9月,
26.0,M18209,张家口耀祥,,1567,830,无,,,9月,
27.0,M18932,三明市长隆汽车销售服务有限公司,,8,0,,,,12月,
28.0,M18326,南阳兴业,,8328,1197,,,,,
29.0,A19795,衢州龙达,,8571,1825,,,,,
30.0,M18938,乌鲁木齐笑好明煦,,1,0,,,,,
1.0,M18075,苏州恒昌,,29365,3538,,,,46023,
2.0,A18056,赤峰新雅迪,,7296,1164,,,,46023,
3.0,M18955,广州市悦马,,116,761,,,,46023,
4.0,M18267,阜新鑫鑫,,647,66,,,,46023,
5.0,M18095,内蒙古鸿达,,3412,1218,,,,46023,
6.0,A18056,赤峰新雅迪,,7296,1164,,,,46023,
,,合计,,95936,9384,,,,,
